05978	奸	CJK UNIFIED IDEOGRAPH-5978
0629c	抜	CJK UNIFIED IDEOGRAPH-629C
07f69	罩	CJK UNIFIED IDEOGRAPH-7F69
07a3e	稾	CJK UNIFIED IDEOGRAPH-7A3E
09824	頤	CJK UNIFIED IDEOGRAPH-9824
06eaf	溯	CJK UNIFIED IDEOGRAPH-6EAF
08b28	謨	CJK UNIFIED IDEOGRAPH-8B28
08b1b	講	CJK UNIFIED IDEOGRAPH-8B1B
09830	頰	CJK UNIFIED IDEOGRAPH-9830
07fb6	羶	CJK UNIFIED IDEOGRAPH-7FB6
06b05	欅	CJK UNIFIED IDEOGRAPH-6B05
09f4b	齋	CJK UNIFIED IDEOGRAPH-9F4B
06295	投	CJK UNIFIED IDEOGRAPH-6295
0828b	芋	CJK UNIFIED IDEOGRAPH-828B
07af8	竸	CJK UNIFIED IDEOGRAPH-7AF8
07f55	罕	CJK UNIFIED IDEOGRAPH-7F55
05944	奄	CJK UNIFIED IDEOGRAPH-5944
059be	妾	CJK UNIFIED IDEOGRAPH-59BE
09818	領	CJK UNIFIED IDEOGRAPH-9818
08b00	謀	CJK UNIFIED IDEOGRAPH-8B00
08b14	謔	CJK UNIFIED IDEOGRAPH-8B14
08eac	躬	CJK UNIFIED IDEOGRAPH-8EAC
06b39	欹	CJK UNIFIED IDEOGRAPH-6B39
05950	奐	CJK UNIFIED IDEOGRAPH-5950
05788	垈	CJK UNIFIED IDEOGRAPH-5788
06e6e	湮	CJK UNIFIED IDEOGRAPH-6E6E
09f5f	齟	CJK UNIFIED IDEOGRAPH-9F5F
0829f	芟	CJK UNIFIED IDEOGRAPH-829F
07adf	竟	CJK UNIFIED IDEOGRAPH-7ADF
08e72	蹲	CJK UNIFIED IDEOGRAPH-8E72
08247	艇	CJK UNIFIED IDEOGRAPH-8247
08e99	躙	CJK UNIFIED IDEOGRAPH-8E99
065e7	旧	CJK UNIFIED IDEOGRAPH-65E7
0916c	酬	CJK UNIFIED IDEOGRAPH-916C
0598a	妊	CJK UNIFIED IDEOGRAPH-598A
05005	倅	CJK UNIFIED IDEOGRAPH-5005
0653f	政	CJK UNIFIED IDEOGRAPH-653F
08521	蔡	CJK UNIFIED IDEOGRAPH-8521
0652b	攫	CJK UNIFIED IDEOGRAPH-652B
06518	攘	CJK UNIFIED IDEOGRAPH-6518
062b5	抵	CJK UNIFIED IDEOGRAPH-62B5
08535	蔵	CJK UNIFIED IDEOGRAPH-8535
05011	們	CJK UNIFIED IDEOGRAPH-5011
0624d	才	CJK UNIFIED IDEOGRAPH-624D
096fb	電	CJK UNIFIED IDEOGRAPH-96FB
09165	酥	CJK UNIFIED IDEOGRAPH-9165
05039	倹	CJK UNIFIED IDEOGRAPH-5039
057a0	垠	CJK UNIFIED IDEOGRAPH-57A0
06524	攤	CJK UNIFIED IDEOGRAPH-6524
062bc	押	CJK UNIFIED IDEOGRAPH-62BC
07f82	羂	CJK UNIFIED IDEOGRAPH-7F82
05993	妓	CJK UNIFIED IDEOGRAPH-5993
08938	褸	CJK UNIFIED IDEOGRAPH-8938
08086	肆	CJK UNIFIED IDEOGRAPH-8086
0609a	悚	CJK UNIFIED IDEOGRAPH-609A
09d46	鵆	CJK UNIFIED IDEOGRAPH-9D46
04ffe	俾	CJK UNIFIED IDEOGRAPH-4FFE
05b5b	孛	CJK UNIFIED IDEOGRAPH-5B5B
07d4e	絎	CJK UNIFIED IDEOGRAPH-7D4E
07cd2	糒	CJK UNIFIED IDEOGRAPH-7CD2
07db4	綴	CJK UNIFIED IDEOGRAPH-7DB4
06901	椁	CJK UNIFIED IDEOGRAPH-6901
04f10	伐	CJK UNIFIED IDEOGRAPH-4F10
05bc3	寃	CJK UNIFIED IDEOGRAPH-5BC3
05e3d	帽	CJK UNIFIED IDEOGRAPH-5E3D
09c2f	鰯	CJK UNIFIED IDEOGRAPH-9C2F
08904	褄	CJK UNIFIED IDEOGRAPH-8904
07dcf	総	CJK UNIFIED IDEOGRAPH-7DCF
0691c	検	CJK UNIFIED IDEOGRAPH-691C
04f38	伸	CJK UNIFIED IDEOGRAPH-4F38
05b40	孀	CJK UNIFIED IDEOGRAPH-5B40
04ff3	俳	CJK UNIFIED IDEOGRAPH-4FF3
07389	玉	CJK UNIFIED IDEOGRAPH-7389
06097	悗	CJK UNIFIED IDEOGRAPH-6097
07d43	絃	CJK UNIFIED IDEOGRAPH-7D43
0809d	肝	CJK UNIFIED IDEOGRAPH-809D
06083	悃	CJK UNIFIED IDEOGRAPH-6083
09d5d	鵝	CJK UNIFIED IDEOGRAPH-9D5D
05b54	孔	CJK UNIFIED IDEOGRAPH-5B54
05eec	廬	CJK UNIFIED IDEOGRAPH-5EEC
09c08	鰈	CJK UNIFIED IDEOGRAPH-9C08
09c3b	鰻	CJK UNIFIED IDEOGRAPH-9C3B
08910	褐	CJK UNIFIED IDEOGRAPH-8910
07dbb	綻	CJK UNIFIED IDEOGRAPH-7DBB
